year,month,avg_max_temp_f,avg_min_temp_f,avg_temp_f,total_percipitation_in,total_snowfall_in
2011,1,46.83,28.1,37.47,2.35,9.6
2011,2,47.58,26.35,36.96,7.61,25.5
2011,3,51.45,31.39,41.42,11.74,39.6
2011,4,61.5,35.13,48.32,1.44,2.3
2011,5,64.9,40.68,52.79,2.17,0
2011,6,73.79,48.18,60.98,2.06,0
2011,7,85.07,56.1,70.58,0,0
2011,8,88.1,56.45,72.28,0.15,0
2011,9,84.47,54.13,69.3,3.42,0
2011,10,71.14,43.54,57.34,2.8,0
2011,11,53.62,32.07,42.62,1.07,5
2011,12,48.97,25.42,37.19,0,0
2012,1,51.5,28.2,39.85,4.98,1.1
2012,2,54.32,29.86,42.09,0.9,11
2012,3,54.45,32.62,43.53,5.76,24.5
2012,4,63.69,38.83,51.12,4.45,5.5
2012,5,75.45,46.57,61.16,0.33,0
2012,6,82.21,51.36,66.79,0.67,0
2012,7,89.3,57.4,73.35,0.01,0
2012,8,93.14,60.62,76.88,0.06,0
2012,9,87.41,56.1,71.76,0,0
2012,10,72.04,44.89,58.46,1.47,0
2012,11,56.04,35.39,45.71,5.06,6.5
2012,12,42.64,29.93,36.29,11.91,18.5
2013,1,44.25,23.25,33.75,0.91,2
2013,2,53.14,27.9,40.52,0.5,1.1
2013,3,61.18,36.18,48.68,2.99,0
2013,4,67.76,41.24,54.5,1.64,0.5
2013,5,73.55,47.86,60.7,2.96,0
2013,6,84.77,55.1,69.93,0.16,0
2013,7,93.69,61.81,77.75,0.02,0
2013,8,89.25,55.89,72.57,0,0
2013,9,82,50.78,66.39,0.92,0
2013,10,69.5,39.5,54.5,0.94,0
2013,11,60.32,33.63,46.97,0.73,0
2013,12,48.81,24.95,36.88,1.53,10.5
2014,1,57.13,31.32,44.23,1.01,0
2014,2,54.64,34.82,44.73,5.47,2
2014,3,62.48,37.44,49.96,3.89,1
2014,4,66.56,40.5,53.53,2.81,0
2014,5,75.83,46.83,61.33,0.73,0
2014,6,85.28,53.39,69.33,0.2,0
2014,7,91,60.93,75.97,0.28,0
2014,8,88.85,57.8,73.33,0.15,0
2014,9,85.04,53.5,69.27,0.54,0
2014,10,76.79,36.18,56.48,0,0
2014,11,59.27,33.53,46.4,2.98,0
2014,12,48.86,32.79,40.82,4.71,1.2
2015,1,56.96,30.39,43.68,0.1,0
2015,2,64.82,36,50.3,1.63,0
2015,3,67.29,38.33,52.81,0.43,0
2015,4,66.35,37.73,52.04,3.15,4.5
2015,5,68.81,43.96,56.38,1.97,0
2015,6,87.97,57.23,72.6,0.79,0
2015,7,87.68,59.71,73.69,2.58,0
2015,8,91.39,58.68,75.03,0.04,0
2015,9,85.07,55.86,70.41,0.15,0
2015,10,73.26,46.17,59.93,3.37,0
2015,11,50.5,29.36,39.93,3.74,0
2015,12,43.42,24.65,34.03,5.18,0
